atc_code	atc_name	snomed_code	snomed_label	ddd	uom	adm_r	note
A01AA01	sodium fluoride	6910009	Sodium fluoride (substance)	1.1	mg	O	0.5 mg fluoride
A01AB02	hydrogen peroxide	387171003	Hydrogen peroxide (substance)	60	mg	O	NA
A01AB03	chlorhexidine	373568007	Chlorhexidine (substance)	30	mg	O	NA
A01AB04	amphotericin B	77703004	Amphotericin B (substance)	40	mg	O	NA
A01AB05	polynoxylin	395837009	Polynoxylin (substance)	0.18	g	O	NA
A01AB06	domiphen	387295005	Domiphen (substance)	3	mg	O	NA
A01AB07	oxyquinoline	77245001	Oxyquinoline (substance)	80	mg	O	NA
A01AB09	miconazole	372738006	Miconazole (substance)	0.2	g	O	NA
A01AB10	natamycin	372712006	Natamycin (substance)	20	mg	O	NA
A01AB23	minocycline	372653009	Minocycline (substance)	1	mg	O	NA
A02AA04	magnesium hydroxide	387337001	Magnesium hydroxide (substance)	3	g	O	NA
A02AB02	algeldrate	273944007	Aluminium hydroxide (substance)	5	g	O	NA
A02AB04	dihydroxialumini sodium carbonate	3031003	Dihydroxyaluminum sodium carbonate (substance)	4	g	O	NA
A02BA01	cimetidine	373541007	Cimetidine (substance)	0.8	g	O	NA
A02BA01	cimetidine	373541007	Cimetidine (substance)	0.8	g	P	NA
A02BA02	ranitidine	372755005	Ranitidine (substance)	0.3	g	O	NA
A02BA02	ranitidine	372755005	Ranitidine (substance)	0.3	g	P	NA
A02BA03	famotidine	387211002	Famotidine (substance)	40	mg	O	NA
A02BA03	famotidine	387211002	Famotidine (substance)	40	mg	P	NA
A02BA04	nizatidine	386887009	Nizatidine (substance)	0.3	g	O	NA
A02BA04	nizatidine	386887009	Nizatidine (substance)	0.3	g	P	NA
A02BA06	roxatidine	699481007	Roxatidine (substance)	0.15	g	O	NA
A02BA07	ranitidine bismuth citrate	386886000	Ranitidine bismuth citrate (substance)	0.8	g	O	NA
A02BB01	misoprostol	387242007	Misoprostol (substance)	0.8	mg	O	NA
A02BC01	omeprazole	387137007	Omeprazole (substance)	20	mg	O	NA
A02BC01	omeprazole	387137007	Omeprazole (substance)	20	mg	P	NA
A02BC02	pantoprazole	395821003	Pantoprazole (substance)	40	mg	O	NA
A02BC02	pantoprazole	395821003	Pantoprazole (substance)	40	mg	P	NA
A02BC03	lansoprazole	386888004	Lansoprazole (substance)	30	mg	O	NA
A02BC04	rabeprazole	422225001	Rabeprazole (substance)	20	mg	O	NA
